date,time est,temp c,spcond (ms/cm),ph,do (mg/l),do (%),turbidity (fnu),chlorophyll (rfu),phycocyanin (rfu),sysbattery
05/13/2015,12:00:00,22.74,.9,7.4,8.72,101.39,2.48,3.14,.45,12.92
05/13/2015,12:15:00,22.84,.9,7.44,8.83,102.89,2.37,3.01,.43,12.95
05/13/2015,12:30:00,22.88,.9,7.45,8.85,103.15,2.48,2.7,.44,12.9
05/13/2015,12:45:00,22.93,.9,7.46,8.9,103.84,2.29,2.89,.45,12.94
11/04/2015,09:30:00,15.27,1.61,7.5,10.2,102.24,2.24,3.16,.75,13.22
11/04/2015,09:45:00,15.36,1.61,7.55,10.32,103.66,1.91,3.02,.75,13.23
